iter	Logloss
0	0.5482086928
1	0.4369359967
2	0.3561388855
3	0.2985169294
4	0.2559436304
5	0.2239974859
6	0.2036370887
7	0.1839453414
8	0.1699473382
9	0.1595899948
10	0.1505207359
11	0.1434531297
12	0.1378914771
13	0.1314918946
14	0.1248563508
15	0.1209890292
16	0.1175229369
17	0.1152360819
18	0.1135189901
19	0.1102729766
20	0.1080029973
21	0.106665341
22	0.1052566545
23	0.1035855113
24	0.1027229112
25	0.10174434
26	0.1001500408
27	0.09907552916
28	0.09822134392
29	0.09797194632
30	0.09703244304
31	0.09597263074
32	0.0951119814
33	0.09501339704
34	0.09449835056
35	0.09408091098
36	0.09338942849
37	0.09327159213
38	0.09309148443
39	0.09234852532
40	0.09225825194
41	0.09178242728
42	0.09137470769
43	0.09123806477
44	0.09084871555
45	0.09020223247
46	0.09014057145
47	0.08971343381
48	0.08884504171
49	0.08878379531
50	0.08870225958
51	0.088583818
52	0.0882755345
53	0.0876512247
54	0.08760060987
55	0.0868929115
56	0.08638701259
57	0.08573879483
58	0.08515748922
59	0.08492415223
60	0.08456461009
61	0.08394580829
62	0.08392965849
63	0.08346073587
64	0.08334527771
65	0.08311443508
66	0.08259153245
67	0.08255482733
68	0.08242339428
69	0.08216490965
70	0.08215214237
71	0.08188131772
72	0.08142419609
73	0.08118569546
74	0.08079463715
75	0.08044879037
76	0.07997710098
77	0.07966868643
78	0.07961501663
79	0.07925787015
80	0.07914686306
81	0.07910806115
82	0.07908287597
83	0.07889416549
84	0.07839903533
85	0.07789805237
86	0.07784649968
87	0.07780962321
88	0.07734566866
89	0.07727668837
90	0.07694842599
91	0.07692686925
92	0.0768662945
93	0.07669204992
94	0.07645460442
95	0.07572366127
96	0.07568008518
97	0.07552325362
98	0.07549212114
99	0.07498296522
